Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Area
43928,762.262,262.151106,213.8427879,1.225905763,0.578442181,44320,236.4970755,0
43935,765.713,256.3129117,218.4494531,1.173328237,0.523091664,44370,236.5159179,0
43946,769.228,272.8279374,205.6476576,1.326676611,0.657146138,44592,236.5455242,0
43947,765.591,266.0595312,210.6660139,1.262944726,0.610780076,44397,236.5482155,0
43949,764.043,277.995372,201.440147,1.380039561,0.689151896,44246,236.5535981,0
43951,760.195,262.5755757,213.5670835,1.229475869,0.581768082,44326,236.5589804,0
43964,795.449,266.7102618,210.1685413,1.26903037,0.615671136,44557,236.593963,0
43968,763.577,261.8395724,214.330122,1.221664831,0.574427993,44429,236.6047259,0
43983,774.627,282.8006744,198.3264995,1.425934886,0.712871876,44363,236.6450821,0
44019,761.71,277.3292487,202.3444951,1.370579657,0.683854616,44351,236.7419091,0
44028,768.937,274.5148104,204.5684639,1.341921453,0.66684092,44445,236.7661096,0
44042,774.452,266.9780244,210.135433,1.270504553,0.616839608,44538,236.80375,0
44048,763.489,271.0824375,207.2220042,1.308173997,0.644713487,44378,236.8198798,0
44058,778.306,271.3398809,206.9524152,1.311122079,0.646745966,44518,236.8467603,0
44113,754.12,258.9507321,217.1547026,1.192471215,0.544755896,44436,236.9945485,0
44141,765.323,271.778025,207.1410008,1.312043603,0.647377176,44515,237.0697508,0
44146,770.979,277.5238707,202.6947764,1.369171301,0.683053011,44560,237.0831773,0
44163,774.123,270.9880395,207.8487847,1.303774953,0.641642871,44646,237.1288216,0
44165,771.361,263.8424028,213.423154,1.236240763,0.587940854,44603,237.1341909,0
44192,769.732,275.9459448,204.2958668,1.350717218,0.672224446,44586,237.2066651,0
44197,778.339,268.0195255,210.299408,1.274466382,0.619948988,44681,237.2200838,0
44212,768.598,268.3170822,210.2958866,1.275902665,0.621065272,44579,237.2603354,0
44213,847.793,279.6244109,203.7493651,1.372394023,0.684882302,45752,237.2630186,0
44220,781.713,264.4764441,213.2033637,1.240489078,0.59173349,44842,237.2818001,0
44258,771.799,276.9029273,203.8423848,1.358416836,0.676817265,44680,237.3837311,0
44290,764.47,266.3331823,212.346134,1.254240787,0.603589734,44661,237.4695337,0
44290,776.883,275.7552456,204.7260179,1.346947732,0.669935501,44739,237.4695337,0
44305,760.743,271.0108236,208.2624982,1.301294405,0.639891088,44628,237.509743,0
44344,772.196,263.9895261,214.3562534,1.231545719,0.583674518,44806,237.6142554,0
44351,769.972,268.1440908,210.7816343,1.272141625,0.618129859,44773,237.6330092,0
44353,758.998,256.4685192,220.3236834,1.164053338,0.51186288,44767,237.6383671,0
44358,758.485,260.4314029,217.2073703,1.198998922,0.551720445,44677,237.6517615,0
44369,780.415,272.2403783,208.0100428,1.308784781,0.645136231,44967,237.6812264,0
44370,761.446,258.4358299,218.8442898,1.180911918,0.531906314,44732,237.6839048,0
44385,768.664,255.6372875,221.4859426,1.15419193,0.499338424,44875,237.7240779,0
44409,758.724,268.853506,210.6264322,1.276447135,0.621486928,44698,237.7883406,0
44417,769.784,277.7135197,203.8245272,1.362512763,0.679216384,44833,237.8097577,0
44417,765.401,275.0257092,206.0544958,1.334723167,0.662322309,44758,237.8097577,0
44421,788.512,259.8055498,218.3461679,1.189879137,0.541933313,45157,237.8204655,0
44429,759.18,264.1860475,214.2718159,1.23294819,0.584957301,44767,237.8418797,0
44429,752.449,248.3909893,228.1029765,1.088942341,0.395833567,44704,237.8418797,0
44436,772.915,270.33186,209.5352252,1.290149948,0.631834039,44893,237.8606155,0
44442,766.629,263.3496817,215.2035367,1.223723763,0.576385547,44827,237.8766736,0
44459,758.56,257.0304179,220.5112713,1.165611247,0.513785015,44768,237.9221657,0
44460,774.803,264.3375604,214.7831933,1.230718085,0.582914127,44927,237.9248414,0
44466,760.049,269.4836158,210.2681728,1.281618669,0.625451195,44807,237.9408952,0
44478,772.434,259.7576665,218.7177415,1.187638756,0.539466792,44910,237.9729995,0
44484,769.816,269.316819,210.9512926,1.276677738,0.621665266,44848,237.98905,0
44487,761.329,264.0926898,214.979129,1.228457344,0.58082412,44806,237.9970748,0
44495,764.275,263.049911,215.7272214,1.219363552,0.572220287,44839,238.0184731,0
44495,793.424,296.3986318,191.4147962,1.548462489,0.763505023,45063,238.0184731,0
44515,809.186,274.9714228,206.5348797,1.331355862,0.660172545,45305,238.0719604,0
44515,757.601,265.5904698,213.9674526,1.241265747,0.592420038,44780,238.0719604,0
44517,757.197,261.8157548,216.6867686,1.208268306,0.561272971,44812,238.0773085,0
44524,758.387,258.916322,219.1299765,1.181565052,0.53265079,44860,238.0960258,0
44538,761.462,265.1809215,214.2723373,1.237588224,0.589150664,44899,238.133456,0
44542,789.281,285.5254747,199.032858,1.434564511,0.716997579,45086,238.1441492,0
44543,764.877,269.8147058,210.5971091,1.28118903,0.625124633,44928,238.1468224,0
44554,771.972,257.6997529,220.5798625,1.168283224,0.517047302,45003,238.1762261,0
44556,772.808,270.4781599,210.4505286,1.28523393,0.628179475,44972,238.1815718,0
44564,761.869,267.5093662,212.5174328,1.25876434,0.607355885,44905,238.2029535,0
44565,833.876,272.2965416,209.5186986,1.299628832,0.638706499,45809,238.2056261,0
44581,813.758,256.8397138,221.4744633,1.15968094,0.506387316,45046,238.2483833,0
44593,778.735,294.6919305,193.1196497,1.525955183,0.755345092,44946,238.2804462,0
44598,783.045,263.6465646,216.4566255,1.218011063,0.570912941,45129,238.2938044,0
44634,774.05,266.8971937,213.6078863,1.249472566,0.599549468,45116,238.3899617,0
44652,779.929,292.0676941,195.0679146,1.49726158,0.744263618,45012,238.4380258,0
44665,762.969,256.4415942,221.8978366,1.155674153,0.501261573,45067,238.4727328,0
44699,767.062,264.3649451,215.4349162,1.227122092,0.579580718,45085,238.5634809,0
44704,770.546,283.7721789,200.7846995,1.413315754,0.706657306,45040,238.5768233,0
44706,773.551,266.7842277,213.6209863,1.248867128,0.599031185,45128,238.58216,0
44716,766.11,260.5966617,218.6403051,1.191896716,0.544133158,45132,238.608842,0
